List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,State Association,Age,Specialism,Price Rs in Cr. 
1,1,M1,Jos,Buttler,England,,34,WICKETKEEPER,200
2,1,M1,Shreyas,Iyer,India,MCA,30,BATTER,200
3,1,M1,Rishabh,Pant,India,DDCA,27,BATTER,200
4,1,M1,Kagiso,Rabada,South Africa,,29,BOWLER,200
5,1,M1,Arshdeep,Singh,India,PCA,26,BOWLER,200
6,1,M1,Mitchell,Starc,Australia,,35,BOWLER,200
7,2,M2,Yuzvendra,Chahal,India,HCA,34,BOWLER,200
8,2,M2,Liam,Livingstone,England,,31,ALL-ROUNDER,200
9,2,M2,David,Miller,South Africa,,35,BATTER,150
10,2,M2,KL,Rahul,India,KSCA,32,WICKETKEEPER,200
11,2,M2,Mohammad,Shami,India,CAB,34,BOWLER,200
12,2,M2,Mohammad,Siraj,India,HYCA,31,BOWLER,200
13,3,BA1,Harry,Brook,England,,26,BATTER,200
14,3,BA1,Devon,Conway,New Zealand,,33,BATTER,200
15,3,BA1,Jake,Fraser-Mcgurk,Australia,,22,BATTER,200
16,3,BA1,Aiden,Markram,South Africa,,30,BATTER,200
17,3,BA1,Devdutt,Padikkal,India,KSCA,24,BATTER,200
18,3,BA1,Rahul,Tripathi,India,MACA,34,BATTER,75
19,3,BA1,David,Warner,Australia,,38,BATTER,200
20,4,AL1,Ravichandaran,Ashwin,India,TNCA,38,ALL-ROUNDER,200
21,4,AL1,Venkatesh,Iyer,India,MPCA,30,ALL-ROUNDER,200
22,4,AL1,Mitchell,Marsh,Australia,,33,ALL-ROUNDER,200
23,4,AL1,Glenn,Maxwell,Australia,,36,ALL-ROUNDER,200
24,4,AL1,Harshal,Patel,India,HCA,34,ALL-ROUNDER,200
25,4,AL1,Rachin,Ravindra,New Zealand,,25,ALL-ROUNDER,150
26,4,AL1,Marcus,Stoinis,Australia,,35,ALL-ROUNDER,200
27,5,WK1,Jonny,Bairstow,England,,35,WICKETKEEPER,200
28,5,WK1,Quinton,De Kock,South Africa,,32,WICKETKEEPER,200
29,5,WK1,Rahmanullah,Gurbaz,Afghanistan,,23,WICKETKEEPER,200
30,5,WK1,Ishan,Kishan,India,JSCA,26,WICKETKEEPER,200
31,5,WK1,Phil,Salt,England,,28,WICKETKEEPER,200
32,5,WK1,Jitesh,Sharma,India,VCA,31,WICKETKEEPER,100
33,6,FA1,Syed Khaleel,Ahmed,India,RCA,27,BOWLER,200
34,6,FA1,Trent,Boult,New Zealand,,35,BOWLER,200
35,6,FA1,Josh,Hazlewood,Australia,,34,BOWLER,200
36,6,FA1,Avesh,Khan,India,MPCA,28,BOWLER,200
37,6,FA1,Prasidh,Krishna,India,KSCA,29,BOWLER,200
38,6,FA1,T.,Natarajan,India,TNCA,33,BOWLER,200
39,6,FA1,Anrich,Nortje,South Africa,,31,BOWLER,200
40,7,SP1,Noor,Ahmad,Afghanistan,,20,BOWLER,200
41,7,SP1,Rahul,Chahar,India,RCA,25,BOWLER,100
42,7,SP1,Wanindu,Hasaranga,Sri Lanka,,27,BOWLER,200
43,7,SP1,Waqar,Salamkheil,Afghanistan,,23,BOWLER,75
44,7,SP1,Maheesh,Theekshana,Sri Lanka,,24,BOWLER,200
45,7,SP1,Adam,Zampa,Australia,,32,BOWLER,200
46,8,UBA1,Yash,Dhull,India,DDCA,22,BATTER,30
47,8,UBA1,Abhinav,Manohar,India,KSCA,30,BATTER,30
48,8,UBA1,Karun,Nair,India,VCA,33,BATTER,30
49,8,UBA1,Angkrish,Raghuvanshi,India,MCA,20,BATTER,30
50,8,UBA1,Anmolpreet,Singh,India,PCA,27,BATTER,30
51,8,UBA1,Atharva,Taide,India,VCA,24,BATTER,30
52,8,UBA1,Nehal,Wadhera,India,PCA,24,BATTER,30
53,9,UAL1,Harpreet,Brar,India,PCA,29,ALL-ROUNDER,30
54,9,UAL1,Naman,Dhir,India,PCA,25,ALL-ROUNDER,30
55,9,UAL1,Mahipal,Lomror,India,RCA,25,ALL-ROUNDER,50
56,9,UAL1,Sameer,Rizvi,India,UPCA,21,ALL-ROUNDER,30
57,9,UAL1,Abdul,Samad,India,JKCA,23,ALL-ROUNDER,30
58,9,UAL1,Vijay,Shankar,India,TNCA,34,ALL-ROUNDER,30
59,9,UAL1,Ashutosh,Sharma,India,RSPB,26,ALL-ROUNDER,30
60,9,UAL1,Nishant,Sindhu,India,HCA,20,ALL-ROUNDER,30
61,9,UAL1,Utkarsh,Singh,India,JSCA,26,ALL-ROUNDER,30
62,10,UWK1,Aryan,Juyal,India,UPCA,23,WICKETKEEPER,30
63,10,UWK1,Kumar,Kushagra,India,JSCA,20,WICKETKEEPER,30
64,10,UWK1,Robin,Minz,India,JSCA,22,WICKETKEEPER,30
65,10,UWK1,Anuj,Rawat,India,DDCA,25,WICKETKEEPER,30
66,10,UWK1,Luvnith,Sisodia,India,KSCA,25,WICKETKEEPER,30
67,10,UWK1,Vishnu,Vinod,India,KCA,31,WICKETKEEPER,30
68,10,UWK1,Upendra Singh,Yadav,India,RSPB,28,WICKETKEEPER,30
69,11,UFA1,Vaibhav,Arora,India,HPCA,27,BOWLER,30
70,11,UFA1,Rasikh,Dar,India,JKCA,25,BOWLER,30
71,11,UFA1,Akash,Madhwal,India,CAU,31,BOWLER,30
72,11,UFA1,Mohit,Sharma,India,HCA,36,BOWLER,50
73,11,UFA1,Simarjeet,Singh,India,DDCA,27,BOWLER,30
74,11,UFA1,Yash,Thakur,India,VCA,26,BOWLER,30
75,11,UFA1,Kartik,Tyagi,India,UPCA,24,BOWLER,40
76,11,UFA1,Vyshak,Vijaykumar,India,KSCA,28,BOWLER,30
77,12,USP1,Piyush,Chawla,India,UPCA,36,BOWLER,50
78,12,USP1,Shreyas,Gopal,India,KSCA,31,BOWLER,30
79,12,USP1,Mayank,Markande,India,PCA,27,BOWLER,30
80,12,USP1,Suyash,Sharma,India,DDCA,21,BOWLER,30
81,12,USP1,Karn,Sharma,India,RSPB,37,BOWLER,50
82,12,USP1,Kumar Kartikeya,Singh,India,MPCA,27,BOWLER,30
83,12,USP1,Manav,Suthar,India,RCA,22,BOWLER,30
84,13,BA2,Mayank,Agarawal,India,KSCA,34,BATTER,100
85,13,BA2,Faf,Du Plessis,South Africa,,40,BATTER,200
86,13,BA2,Glenn,Phillips,New Zealand,,28,BATTER,200
87,13,BA2,Rovman,Powell,West Indies,,31,BATTER,150
88,13,BA2,Ajinkya,Rahane,India,MCA,36,BATTER,150
89,13,BA2,Prithvi,Shaw,India,MCA,25,BATTER,75
90,13,BA2,Kane,Williamson,New Zealand,,34,BATTER,200
91,14,AL2,Sam,Curran,England,,26,ALL-ROUNDER,200
92,14,AL2,Marco,Jansen,South Africa,,24,ALL-ROUNDER,125
93,14,AL2,Daryl,Mitchell,New Zealand,,33,ALL-ROUNDER,200
94,14,AL2,Krunal,Pandya,India,BCA,34,ALL-ROUNDER,200
95,14,AL2,Nitish,Rana,India,UPCA,31,ALL-ROUNDER,150
96,14,AL2,Washington,Sundar,India,TNCA,25,ALL-ROUNDER,200
97,14,AL2,Shardul,Thakur,India,MCA,33,ALL-ROUNDER,200
98,15,WK2,K.S,Bharat,India,ACA,31,WICKETKEEPER,75
99,15,WK2,Alex,Carey,Australia,,33,WICKETKEEPER,100
100,15,WK2,Donovan,Ferreira,South Africa,,26,WICKETKEEPER,75
101,15,WK2,Shai,Hope,West Indies,,31,WICKETKEEPER,125
102,15,WK2,Josh,Inglis,Australia,,30,WICKETKEEPER,200
103,15,WK2,Ryan,Rickelton,South Africa,,28,WICKETKEEPER,100
104,16,FA2,Deepak,Chahar,India,RCA,32,BOWLER,200
105,16,FA2,Gerald,Coetzee,South Africa,,24,BOWLER,125
106,16,FA2,Akash,Deep,India,CAB,28,BOWLER,100
107,16,FA2,Tushar,Deshpande,India,MCA,29,BOWLER,100
108,16,FA2,Lockie,Ferguson,New Zealand,,33,BOWLER,200
109,16,FA2,Bhuvneshwar,Kumar,India,UPCA,35,BOWLER,200
110,16,FA2,Mukesh,Kumar,India,CAB,31,BOWLER,200
111,17,SP2,Allah,Ghazanfar,Afghanistan,,19,BOWLER,75
112,17,SP2,Akeal,Hosein,West Indies,,31,BOWLER,150
113,17,SP2,Keshav,Maharaj,South Africa,,35,BOWLER,75
114,17,SP2,Mujeeb Ur,Rahman,Afghanistan,,24,BOWLER,200
115,17,SP2,Adil,Rashid,England,,37,BOWLER,200
116,17,SP2,Vijayakanth,Viyaskanth,Sri Lanka,,23,BOWLER,75
117,18,UBA2,Ricky,Bhui,India,ACA,28,BATTER,30
118,18,UBA2,Swastik,Chhikara,India,UPCA,20,BATTER,30
119,18,UBA2,Aarya,Desai,India,GUCA,22,BATTER,30
120,18,UBA2,Shubham,Dubey,India,VCA,30,BATTER,30
121,18,UBA2,Madhav,Kaushik,India,UPCA,27,BATTER,30
122,18,UBA2,Pukhraj,Mann,India,PCA,23,BATTER,30
123,18,UBA2,Shaik,Rasheed,India,ACA,20,BATTER,30
124,18,UBA2,Himmat,Singh,India,DDCA,28,BATTER,30
125,19,UAL2,Mayank,Dagar,India,HPCA,28,ALL-ROUNDER,30
126,19,UAL2,Anshul,Kamboj,India,HCA,24,ALL-ROUNDER,30
127,19,UAL2,Mohd. Arshad,Khan,India,MPCA,27,ALL-ROUNDER,30
128,19,UAL2,Darshan,Nalkande,India,VCA,26,ALL-ROUNDER,30
129,19,UAL2,Suyash,Prabhudessai,India,GCA,27,ALL-ROUNDER,30
130,19,UAL2,Anukul,Roy,India,JSCA,26,ALL-ROUNDER,30
131,19,UAL2,Swapnil,Singh,India,CAU,34,ALL-ROUNDER,30
132,19,UAL2,Sanvir,Singh,India,PCA,28,ALL-ROUNDER,30
133,20,UWK2,Avanish,Aravelly,India,HYCA,19,WICKETKEEPER,30
134,20,UWK2,Vansh,Bedi,India,DDCA,22,WICKETKEEPER,30
135,20,UWK2,Saurav,Chauhan,India,GUCA,24,WICKETKEEPER,30
136,20,UWK2,Harvik,Desai,India,SCA,25,WICKETKEEPER,30
137,20,UWK2,Tom,Kohler-Cadmore,England,,30,WICKETKEEPER,50
138,20,UWK2,Kunal,Rathore,India,RCA,22,WICKETKEEPER,30
139,20,UWK2,B.R,Sharath,India,KSCA,28,WICKETKEEPER,30
140,21,UFA2,Gurnoor Singh,Brar,India,PCA,24,BOWLER,30
141,21,UFA2,Mukesh,Choudhary,India,MACA,28,BOWLER,30
142,21,UFA2,Sakib,Hussain,India,BICA,20,BOWLER,30
143,21,UFA2,Vidwath,Kaverappa,India,KSCA,26,BOWLER,30
144,21,UFA2,Rajan,Kumar,India,CAU,28,BOWLER,30
145,21,UFA2,Sushant,Mishra,India,JSCA,24,BOWLER,30
146,21,UFA2,Arjun,Tendulkar,India,GCA,25,BOWLER,30
147,22,USP2,Zeeshan,Ansari,India,UPCA,25,BOWLER,30
148,22,USP2,Prince,Choudhary,India,DDCA,25,BOWLER,30
149,22,USP2,Himanshu,Sharma,India,RCA,26,BOWLER,30
150,22,USP2,M.,Siddharth,India,TNCA,26,BOWLER,30
151,22,USP2,Digvesh,Singh,India,DDCA,25,BOWLER,30
152,22,USP2,Prashant,Solanki,India,MACA,25,BOWLER,30
153,22,USP2,Jhathavedh,Subramanyan,India,TNCA,25,BOWLER,30
154,23,BA3,Finn,Allen,New Zealand,,25,BATTER,200
155,23,BA3,Dewald,Brevis,South Africa,,21,BATTER,75
156,23,BA3,Ben,Duckett,England,,30,BATTER,200
157,23,BA3,Manish,Pandey,India,KSCA,35,BATTER,75
158,23,BA3,Rilee,Rossouw,South Africa,,35,BATTER,200
159,23,BA3,Sherfane,Rutherford,West Indies,,26,BATTER,150
160,23,BA3,Ashton,Turner,Australia,,32,BATTER,100
161,23,BA3,James,Vince,England,,34,BATTER,200
162,24,AL3,Shahbaz,Ahamad,India,CAB,30,ALL-ROUNDER,100
163,24,AL3,Moeen,Ali,England,,37,ALL-ROUNDER,200
164,24,AL3,Tim,David,Australia,,29,ALL-ROUNDER,200
165,24,AL3,Deepak,Hooda,India,RCA,29,ALL-ROUNDER,75
166,24,AL3,Will,Jacks,England,,26,ALL-ROUNDER,200
167,24,AL3,Azmatullah,Omarzai,Afghanistan,,25,ALL-ROUNDER,150
168,24,AL3,R.,Sai Kishore,India,TNCA,28,ALL-ROUNDER,75
169,24,AL3,Romario,Shepherd,West Indies,,30,ALL-ROUNDER,150
170,25,WK3,Tom,Banton,England,,26,WICKETKEEPER,200
171,25,WK3,Sam,Billings,England,,33,WICKETKEEPER,150
172,25,WK3,Jordan,Cox,England,,24,WICKETKEEPER,125
173,25,WK3,Ben,McDermott,Australia,,30,WICKETKEEPER,75
174,25,WK3,Kusal,Mendis,Sri Lanka,,30,WICKETKEEPER,75
175,25,WK3,Kusal,Perera,Sri Lanka,,34,WICKETKEEPER,75
176,25,WK3,Josh,Philippe,Australia,,27,WICKETKEEPER,75
177,25,WK3,Tim,Seifert,New Zealand,,30,WICKETKEEPER,125
178,26,FA3,Nandre,Burger,South Africa,,29,BOWLER,125
179,26,FA3,Spencer,Johnson,Australia,,29,BOWLER,200
180,26,FA3,Umran,Malik,India,JKCA,25,BOWLER,75
181,26,FA3,Mustafizur,Rahman,Bangladesh,,29,BOWLER,200
182,26,FA3,Ishant,Sharma,India,DDCA,36,BOWLER,75
183,26,FA3,Nuwan,Thushara,Sri Lanka,,30,BOWLER,75
184,26,FA3,Naveen,Ul Haq,Afghanistan,,25,BOWLER,200
185,26,FA3,Jaydev,Unadkat,India,SCA,33,BOWLER,100
186,26,FA3,Umesh,Yadav,India,VCA,37,BOWLER,200
187,27,SP3,Rishad,Hossain,Bangladesh,,22,BOWLER,75
188,27,SP3,Zahir Khan,Pakten,Afghanistan,,26,BOWLER,75
189,27,SP3,Nqabayomzi,Peter,South Africa,,23,BOWLER,75
190,27,SP3,Tanveer,Sangha,Australia,,23,BOWLER,75
191,27,SP3,Tabraiz,Shamsi,South Africa,,35,BOWLER,200
192,27,SP3,Jeffery,Vandersay,Sri Lanka,,35,BOWLER,75
193,28,UBA3,Sachin,Baby,India,KCA,36,BATTER,30
194,28,UBA3,Priyam,Garg,India,UPCA,24,BATTER,30
195,28,UBA3,Harnoor,Pannu,India,PCA,22,BATTER,30
196,28,UBA3,Smaran,Ravichandran,India,KSCA,21,BATTER,30
197,28,UBA3,Shashwat,Rawat,India,BCA,24,BATTER,30
198,28,UBA3,Andre,Siddarth,India,TNCA,18,BATTER,30
199,28,UBA3,Avneesh,Sudha,India,CAU,23,BATTER,30
200,28,UBA3,Apoorv,Wankhade,India,VCA,33,BATTER,30
201,29,UAL3,Yudhvir,Charak,India,JKCA,27,ALL-ROUNDER,30
202,29,UAL3,Rishi,Dhawan,India,HPCA,35,ALL-ROUNDER,30
203,29,UAL3,Rajvardhan,Hangargekar,India,MACA,22,ALL-ROUNDER,30
204,29,UAL3,Tanush,Kotian,India,MCA,26,ALL-ROUNDER,30
205,29,UAL3,Arshin,Kulkarni,India,MACA,20,ALL-ROUNDER,30
206,29,UAL3,Shams,Mulani,India,MCA,28,ALL-ROUNDER,30
207,29,UAL3,Shivam,Singh,India,TNCA,29,ALL-ROUNDER,30
208,29,UAL3,Lalit,Yadav,India,DDCA,28,ALL-ROUNDER,30
209,30,UWK3,Mohammed,Azharuddeen,India,KCA,31,WICKETKEEPER,30
210,30,UWK3,L.R,Chethan,India,KSCA,24,WICKETKEEPER,30
211,30,UWK3,Aryaman Singh,Dhaliwal,India,PCA,22,WICKETKEEPER,30
212,30,UWK3,Urvil,Patel,India,GUCA,26,WICKETKEEPER,30
213,30,UWK3,Sanskar,Rawat,India,CAU,19,WICKETKEEPER,30
214,30,UWK3,Bipin,Saurabh,India,BICA,25,WICKETKEEPER,30
215,30,UWK3,Tanay,Thyagarajann,India,HYCA,29,WICKETKEEPER,30
216,31,UFA3,Money,Grewal,India,DDCA,24,BOWLER,30
217,31,UFA3,Ashwani,Kumar,India,PCA,23,BOWLER,30
218,31,UFA3,Ishan,Porel,India,CAB,26,BOWLER,30
219,31,UFA3,Abhilash,Shetty,India,KSCA,26,BOWLER,30
220,31,UFA3,Akash,Singh,India,BCA,22,BOWLER,30
221,31,UFA3,Gurjapneet,Singh,India,TNCA,26,BOWLER,30
222,31,UFA3,Basil,Thampi,India,KCA,31,BOWLER,30
223,32,USP3,Murugan,Ashwin,India,JKCA,34,BOWLER,30
224,32,USP3,Shreyas,Chavan,India,MACA,21,BOWLER,30
225,32,USP3,Chintal,Gandhi,India,BCA,30,BOWLER,30
226,32,USP3,Raghav,Goyal,India,HCA,23,BOWLER,30
227,32,USP3,Jagadeesha,Suchith,India,NCA,31,BOWLER,30
228,32,USP3,Roshan,Waghsare,India,MACA,21,BOWLER,30
229,32,USP3,Bailapudi,Yeswanth,India,ACA,20,BOWLER,30
230,33,BA4,Sediqullah,Atal,Afghanistan,,23,BATTER,75
231,33,BA4,Matthew,Breetzke,South Africa,,26,BATTER,75
232,33,BA4,Mark,Chapman,New Zealand,,30,BATTER,150
233,33,BA4,Brandon,King,West Indies,,30,BATTER,75
234,33,BA4,Evin,Lewis,West Indies,,33,BATTER,200
235,33,BA4,Pathum,Nissanka,Sri Lanka,,26,BATTER,75
236,33,BA4,Bhanuka,Rajapaksa,Sri Lanka,,33,BATTER,75
237,33,BA4,Steve,Smith,Australia,,35,BATTER,200
238,34,AL4,Gus,Atkinson,England,,27,ALL-ROUNDER,200
239,34,AL4,Tom,Curran,England,,30,ALL-ROUNDER,200
240,34,AL4,Krishnappa,Gowtham,India,KSCA,36,ALL-ROUNDER,100
241,34,AL4,Mohammad,Nabi,Afghanistan,,40,ALL-ROUNDER,150
242,34,AL4,Gulbadin,Naib,Afghanistan,,33,ALL-ROUNDER,100
243,34,AL4,Sikandar,Raza,Zimbabwe,,38,ALL-ROUNDER,125
244,34,AL4,Mitchell,Santner,New Zealand,,33,ALL-ROUNDER,200
245,34,AL4,Jayant,Yadav,India,HCA,35,ALL-ROUNDER,75
246,35,WK4,Johnson,Charles,West Indies,,36,WICKETKEEPER,75
247,35,WK4,Litton,Das,Bangladesh,,30,WICKETKEEPER,75
248,35,WK4,Andre,Fletcher,West Indies,,37,WICKETKEEPER,75
249,35,WK4,Tom,Latham,New Zealand,,33,WICKETKEEPER,75
250,35,WK4,Ollie,Pope,England,,27,WICKETKEEPER,75
251,35,WK4,Kyle,Verreynne,South Africa,,27,WICKETKEEPER,75
252,36,FA4,Fazalhaq,Farooqi,Afghanistan,,24,BOWLER,200
253,36,FA4,Richard,Gleeson,England,,37,BOWLER,75
254,36,FA4,Matt,Henry,New Zealand,,33,BOWLER,200
255,36,FA4,Alzarri,Joseph,West Indies,,28,BOWLER,200
256,36,FA4,Kwena,Maphaka,South Africa,,18,BOWLER,75
257,36,FA4,Kuldeep,Sen,India,MPCA,28,BOWLER,75
258,36,FA4,Reece,Topley,England,,31,BOWLER,75
259,36,FA4,Lizaad,Williams,South Africa,,31,BOWLER,75
260,36,FA4,Luke,Wood,England,,29,BOWLER,75
261,37,UBA4,Sachin,Dhas,India,MACA,20,BATTER,75
262,37,UBA4,Leus,Du Plooy,England,,30,BATTER,75
263,37,UBA4,Ashwin,Hebbar,India,ACA,29,BATTER,75
264,37,UBA4,Rohan,Kunnummal,India,KCA,26,BATTER,75
265,37,UBA4,Ayush,Pandey,India,CSCSCA,21,BATTER,75
266,37,UBA4,Akshat,Raghuwanshi,India,MPCA,21,BATTER,75
267,37,UBA4,Shoun,Roger,India,KCA,22,BATTER,75
268,37,UBA4,Virat,Singh,India,JSCA,27,BATTER,75
269,38,UAL4,Priyansh,Arya,India,DDCA,23,ALL-ROUNDER,75
270,38,UAL4,Manoj,Bhandage,India,KSCA,26,ALL-ROUNDER,30
271,38,UAL4,Pravin,Dubey,India,KSCA,31,ALL-ROUNDER,30
272,38,UAL4,Ajay,Mandal,India,CSCSCA,29,ALL-ROUNDER,30
273,38,UAL4,Prerak,Mankad,India,SCA,30,ALL-ROUNDER,30
274,38,UAL4,Vipraj,Nigam,India,UPCA,20,ALL-ROUNDER,30
275,38,UAL4,Vicky,Ostwal,India,MACA,22,ALL-ROUNDER,30
276,38,UAL4,Shivalik,Sharma,India,BCA,26,ALL-ROUNDER,30
277,39,UWK4,Salil,Arora,India,PCA,22,WICKETKEEPER,30
278,39,UWK4,Dinesh,Bana,India,HCA,20,WICKETKEEPER,30
279,39,UWK4,Ajitesh,Guruswamy,India,TNCA,22,WICKETKEEPER,30
280,39,UWK4,Narayan,Jagadeesan,India,TNCA,29,WICKETKEEPER,30
281,39,UWK4,Shrijith,Krishnan,India,KSCA,28,WICKETKEEPER,30
282,39,UWK4,Michael,Pepper,England,,26,WICKETKEEPER,30
283,39,UWK4,Vishnu,Solanki,India,BCA,32,WICKETKEEPER,30
284,40,UFA4,K.M,Asif,India,KCA,31,BOWLER,30
285,40,UFA4,Akhil,Chaudhary,India,DDCA,22,BOWLER,30
286,40,UFA4,Himanshu,Chauhan,India,DDCA,22,BOWLER,30
287,40,UFA4,Arpit,Guleria,India,HPCA,27,BOWLER,30
288,40,UFA4,Nishanth,Saranu,India,HYCA,20,BOWLER,30
